nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Attignat;1340;1024;46.283333;5.166667;1.21
Beaupont;1270;1029;46.4;5.266667;1.91
Bény;1370;1038;46.333333;5.283333;1.51
Béreyziat;1340;1040;46.366667;5.05;1.71
Bohas-Meyriat-Rignat;1250;1245;46.133333;5.4;1.01
Bourg-en-Bresse;1000;1053;46.2;5.216667;1
Buellas;1310;1065;46.2;5.133333;0.73
Certines;1240;1069;46.133333;5.266667;1.97
Ceyzériat;1250;1072;46.166667;5.316667;1.15
Chavannes-sur-Suran;1250;1095;46.266667;5.416667;1.14
Cize;1250;1106;46.2;5.433333;0.72
Coligny;1270;1108;46.383333;5.35;1.81
Confrançon;1310;1115;46.266667;5.066667;1.35
Cormoz;1560;1124;46.45;5.233333;2.27
Corveissiat;1250;1125;46.233333;5.483333;1.58
Courmangoux;1370;1127;46.333333;5.366667;1.51
Courtes;1560;1128;46.466667;5.1;2.31
Cras-sur-Reyssouze;1340;1130;46.3;5.166667;1.31
Curciat-Dongalon;1560;1139;46.466667;5.15;2.31
Curtafond;1310;1140;46.266667;5.083333;1.11
Dompierre-sur-Veyle;1240;1145;46.066667;5.2;1.13
Domsure;1270;1147;46.416667;5.3;2.01
Drom;1250;1150;46.216667;5.366667;0.8
Druillat;1160;1151;46.066667;5.316667;0.1
Etrez;1340;1154;46.333333;5.183333;1.51
Foissiat;1340;1163;46.366667;5.183333;1.71
Germagnat;1250;1172;46.316667;5.45;2.05
Grand-Corent;1250;1177;46.2;5.433333;0.72
Hautecourt-Romanèche;1250;1184;46.158333;5.416667;-1
Jasseron;1250;1195;46.216667;5.333333;0.84
Jayat;1340;1196;46.366667;5.116667;1.71
Journans;1250;1197;46.15;5.333333;1.08
La Tranclière;1160;1425;46.116667;5.266667;1.73
Lent;1240;1211;46.116667;5.2;1.02
Lescheroux;1560;1212;46.4;5.15;1.91
Malafretaz;1340;1229;46.316667;5.15;1.41
Mantenay-Montlin;1560;1230;46.416667;5.083333;2.01
Marboz;1851;1232;46.333333;5.25;1.51
Marsonnas;1340;1236;46.333333;5.066667;1.51
Meillonnas;1370;1241;46.25;5.35;1.08
Montagnat;1250;1254;46.166667;5.283333;1.62
Montcet;1310;1259;46.2;5.116667;0.78
Montracol;1310;1264;46.183333;5.116667;0.99
Montrevel-en-Bresse;1340;1266;46.333333;5.133333;1.51
Neuville-sur-Ain;1160;1273;46.083333;5.366667;1.28
Péronnas;1960;1289;46.183333;5.2;0.6
Pirajoux;1270;1296;46.383333;5.3;1.81
Polliat;1310;1301;46.25;5.133333;1.01
Pont-d'Ain;1160;1304;46.05;5.333333;0.52
Pouillat;1250;1309;46.333333;5.433333;2.18
Pressiat;1370;1312;46.333333;5.383333;1.51
Priay;1160;1314;46;5.283333;1.73
Ramasse;1250;1317;46.2;5.35;0.7
Revonnas;1250;1321;46.166667;5.333333;0.93
Saint-André-sur-Vieux-Jonc;1240;1336;46.15;5.066667;1.04
Saint-Denis-lès-Bourg;1000;1344;46.2;5.2;1
Saint-Didier-d'Aussiat;1340;1346;46.3;5.066667;1.33
Saint-Etienne-du-Bois;1370;1350;46.283333;5.283333;1.21
Saint-Jean-sur-Reyssouze;1560;1364;46.4;5.066667;1.91
